Fixed_rho_schedule,Monotone_rho_schedule,Proposed_alpha_schedule
30.9682478734608,32.991204937708,31.0713886324714
32.4223268278956,36.0452950389426,32.8923151468064
33.3399840845491,37.060764004792,33.647664569875
23.4036064436445,23.7020948946786,23.5197522486716
25.2794249283634,25.6887427274644,25.4618073006131
22.7111142024504,23.216434391009,22.8845300964384
24.8779407162904,25.2489011345308,25.0245378639825
31.3218410486475,33.1137228315781,31.5365639107303
26.874147958543,27.1504073365535,27.0482683829461
27.7442181426309,29.1011798997304,27.9640802370939
28.5315019597186,29.3195755309057,28.7468977119046
26.4256978224645,26.8095791822869,26.6314115866394
23.8693723842607,24.0307512321955,23.9810561638636
27.5207249533015,28.7291271647981,27.7238672193874
